Course #,Category,Course Title,What This Course Is About,What You Can Do After Completing This Course,Core Concept or Project Built,5 Key Topics Covered,Duration,Level
318,Cybersecurity,Cybercrime Law in Nigeria: The Cybercrimes Act Explained,Learn the Nigerian Cybercrimes Prohibition and Prevention Act 2015 and its implications for security professionals,You will be able to explain what is and is not legal in Nigerian cybersecurity work and advise on digital evidence handling,"Nigerian Cybercrimes Act key offences, penalties, digital evidence admissibility, EFCC cybercrime section",Analyse 5 Nigerian cybercrime cases and identify the specific sections of the law that apply to each,3 hours,Foundation
319,Cybersecurity,Red Team vs Blue Team: The Two Sides of Security,Learn how red team attackers and blue team defenders work together to improve organisational security,You will be able to describe the methodologies tools and mindsets of both red and blue team security operations,"Red team operations, blue team defences, purple teaming, attack simulation, detection engineering",Design a full red team vs blue team exercise scenario for a fictional Nigerian company,4 hours,Foundation
320,Cybersecurity,Building a Home Lab for Security Practice,Learn how to set up a home cybersecurity lab with multiple virtual machines for learning and practice,You will be able to set up a complete security lab with attack and target machines on your own computer,"Virtualisation with VirtualBox, lab topologies, vulnerable VMs, Kali and Metasploitable, network isolation",Set up a complete home security lab with at least 3 virtual machines in an isolated network,3 hours,Beginner
321,Cybersecurity,CTF Competitions: Hacking Practice That Builds Skills Fast,Learn how to approach Capture the Flag competitions the fastest way to build practical security skills,You will be able to solve beginner-level CTF challenges in web crypto forensics and binary categories,"CTF categories and approach, web challenges, cryptography puzzles, forensics tools, binary basics",Complete 10 beginner CTF challenges on PicoCTF or HackTheBox and document your methodology for each,5 hours,Beginner
322,Cybersecurity,Email Security: Protecting Against Phishing and Spoofing,Learn how to implement email security controls that protect organisations from phishing and spoofing,You will be able to configure SPF DKIM DMARC and deploy an email security gateway for any organisation,"SPF DKIM DMARC configuration, email headers analysis, email gateway setup, URL filtering, training",Configure complete email authentication for a domain and test using MXToolbox,3 hours,Intermediate
323,Cybersecurity,Secure DevOps: Building Security Into the Development Pipeline,Learn how to embed security into CI/CD pipelines so that security checks are automatic and continuous,You will be able to add SAST DAST and container scanning to any CI/CD pipeline,"SAST with Semgrep, DAST with OWASP ZAP, container scanning with Trivy, secret scanning, GitHub Actions security",Add a complete security pipeline to an existing CI/CD workflow that blocks deployments on critical findings,5 hours,Advanced
324,Cybersecurity,Ransomware Defence: Protecting Against the Biggest Threat,Learn how ransomware attacks work and how to build defences that prevent and recover from them,You will be able to implement the technical and procedural controls that stop ransomware attacks,"How ransomware enters and spreads, backup strategy, endpoint protection, network segmentation, recovery plan",Build a complete ransomware defence plan for a 20-person Nigerian company,4 hours,Intermediate
325,Cybersecurity,Zero Trust Security: Modern Security Architecture,Learn Zero Trust the security model that assumes no network or user is trusted by default,You will be able to design a Zero Trust security architecture for a small organisation and identify the key controls,"Zero Trust principles, identity verification, least privilege access, microsegmentation, continuous verification",Design a Zero Trust architecture for a fictional fintech company's internal systems,4 hours,Advanced
326,Cybersecurity,Cybersecurity for Small Nigerian Businesses,Learn practical affordable cybersecurity measures that any Nigerian SME can implement immediately,You will be able to significantly improve the cybersecurity posture of any small business with free or low-cost tools,"Password managers, 2FA, device encryption, safe browsing, backup systems, incident response for SMEs",Implement a complete basic cybersecurity programme for a real or practice small business,3 hours,Foundation
327,Cybersecurity,SCADA and Critical Infrastructure Security,Learn how industrial control systems and critical infrastructure are targeted and how to defend them,You will be able to explain the unique security challenges of SCADA and ICS environments and design appropriate controls,"SCADA and ICS architecture, OT vs IT security, air-gapping, known vulnerabilities, monitoring",Analyse a real SCADA attack case study and design the security improvements that would have prevented it,4 hours,Advanced
328,Cybersecurity,Security Compliance: NDPC ISO 27001 and PCI DSS,Learn how to achieve compliance with major security standards applicable to Nigerian businesses,You will be able to conduct a gap assessment against NDPC 2023 and ISO 27001 and create a remediation roadmap,"NDPC 2023 requirements, ISO 27001 controls, PCI DSS basics, gap assessment methodology, remediation planning",Conduct an NDPC 2023 gap assessment for a fictional data-processing company,5 hours,Intermediate
